"id","team","wiki","region","country","track","kind","section","application","year"
3456,"Aachen","https://2020.igem.org/Team:Aachen","europe","DEU","Foundational Advance","collegiate","overgrad","accepted",2020
3386,"Aalto-Helsinki","https://2020.igem.org/Team:Aalto-Helsinki","europe","FIN","Environment","collegiate","overgrad","accepted",2020
3504,"AFCM-Egypt","https://2020.igem.org/Team:AFCM-Egypt","africa","EGY","Therapeutics","collegiate","undergrad","accepted",2020
3656,"AHUT-ZJU-China","https://2020.igem.org/Team:AHUT-ZJU-China","asia","CHN","Environment","collegiate","undergrad","accepted",2020
3465,"Aix-Marseille","https://2020.igem.org/Team:Aix-Marseille","europe","FRA","Environment","collegiate","undergrad","accepted",2020
3445,"Alma","https://2020.igem.org/Team:Alma","north-america","USA","Environment","collegiate","undergrad","accepted",2020
3437,"Amsterdam","https://2020.igem.org/Team:Amsterdam","europe","NLD","Information Processing","collegiate","overgrad","accepted",2020
3368,"AshesiGhana","https://2020.igem.org/Team:AshesiGhana","africa","GHA","Environment","collegiate","undergrad","accepted",2020
3390,"ASIJ_Tokyo","https://2020.igem.org/Team:ASIJ_Tokyo","asia","JPN","High School","high-school","high-school","deleted",2020
3576,"ASTWS-China","https://2020.igem.org/Team:ASTWS-China","asia","CHN","High School","high-school","high-school","accepted",2020
3520,"Athens","https://2020.igem.org/Team:Athens","europe","GRC","Manufacturing","collegiate","undergrad","accepted",2020
3626,"AUC-EGYPT","https://2020.igem.org/Team:AUC-EGYPT","africa","EGY","Therapeutics","collegiate","undergrad","accepted",2020
3569,"Austin_UTexas","https://2020.igem.org/Team:Austin_UTexas","north-america","USA","Diagnostics","collegiate","undergrad","accepted",2020
3651,"Baltimore_BioCrew","https://2020.igem.org/Team:Baltimore_BioCrew","north-america","USA","High School","high-school","high-school","accepted",2020
3598,"Beijing_4ELEVEN","https://2020.igem.org/Team:Beijing_4ELEVEN","asia","CHN","High School","high-school","high-school","accepted",2020
3632,"Beijing_HS_United","https://2020.igem.org/Team:Beijing_HS_United","asia","CHN","High School","high-school","high-school","deleted",2020
3394,"BGU-Israel","https://2020.igem.org/Team:BGU-Israel","asia","ISR","Environment","collegiate","overgrad","accepted",2020
3399,"BHSF","https://2020.igem.org/Team:BHSF","asia","CHN","High School","high-school","high-school","accepted",2020
3410,"Bielefeld-CeBiTec","https://2020.igem.org/Team:Bielefeld-CeBiTec","europe","DEU","Diagnostics","collegiate","overgrad","accepted",2020
3345,"Bilkent-UNAMBG","https://2020.igem.org/Team:Bilkent-UNAMBG","asia","TUR",,"collegiate","collegiate","deleted",2020
3471,"BIT","https://2020.igem.org/Team:BIT","asia","CHN","Diagnostics","collegiate","undergrad","accepted",2020
3496,"BIT-China","https://2020.igem.org/Team:BIT-China","asia","CHN","Manufacturing","collegiate","undergrad","accepted",2020
3512,"BITSPilani-Goa_India","https://2020.igem.org/Team:BITSPilani-Goa_India","asia","IND","Food & Nutrition","collegiate","undergrad","accepted",2020
3693,"BJ101HS","https://2020.igem.org/Team:BJ101HS","asia","CHN","High School","high-school","high-school","accepted",2020
3597,"BJ_4ELEVEN","https://2020.igem.org/Team:BJ_4ELEVEN","asia","CHN",,"collegiate","collegiate","deleted",2020
3330,"BNDS_Beijing_China","https://2020.igem.org/Team:BNDS_Beijing_China","north-america","USA","High School","high-school","high-school","deleted",2020
3329,"BNDS_China","https://2020.igem.org/Team:BNDS_China","asia","CHN","High School","high-school","high-school","accepted",2020
3506,"BNU-China","https://2020.igem.org/Team:BNU-China","asia","CHN","Foundational Advance","collegiate","undergrad","accepted",2020
3514,"BOKU-Vienna","https://2020.igem.org/Team:BOKU-Vienna","europe","AUT","Therapeutics","collegiate","overgrad","accepted",2020
3364,"Botchan_Lab_Tokyo","https://2020.igem.org/Team:Botchan_Lab_Tokyo","asia","JPN","Environment","collegiate","undergrad","accepted",2020
3590,"Brno_Czech_Republic","https://2020.igem.org/Team:Brno_Czech_Republic","europe","CZE","Environment","collegiate","undergrad","accepted",2020
3494,"BUAP_Mx","https://2020.igem.org/Team:BUAP_Mx","latin-america","MEX",,"collegiate","collegiate","deleted",2020
3699,"BUCT","https://2020.igem.org/Team:BUCT","asia","CHN","Environment","collegiate","undergrad","accepted",2020
